Philippines 194112141700 Corregidor 129 r 1800 1800 278589.58 434311.84 0   2229_bld House$AirdromeTank1 1 278589.58 434311.84 450
Philippines 194112141700 Corregidor 130 r 6000 6000 191845.64 242753.11 0   2230_bld House$AirdromeFuelTank 1 191845.64 242753.11 525
Philippines 194112141700 Corregidor 131 r 6000 6000 191877.67 242790.26 0   2231_bld House$AirdromeFuelTank 1 191877.67 242790.26 360
Philippines 194112141700 Corregidor 132 r 6000 6000 280407.08 487768.95 0   2232_bld House$AirdromeFuelTank 1 280407.08 487768.95 360
Philippines 194112141700 Corregidor 133 r 1800 1800 264296.64 532646.85 0   2233_bld House$AirdromeTank1 1 264296.64 532646.85 360
Philippines 194112141700 Corregidor 134 r 1800 1800 263964.32 532853.14 0   2234_bld House$AirdromeTank1 1 263964.32 532853.14 610
Philippines 194112141700 Corregidor 135 r 1800 1800 268388.15 536578.07 0   2235_bld House$AirdromeTank1 1 268388.15 536578.07 685
Philippines 194112141700 Corregidor 136 r 1800 1800 316915.48 448048.54 0   2236_bld House$AirdromeTank1 1 316915.48 448048.54 370
Philippines 194112141700 Corregidor 137 r 1800 1800 369807.48 276307.38 0   2237_bld House$AirdromeTank1 1 369807.48 276307.38 405
Philippines 194112141700 Corregidor 138 r 1800 1800 360096.44 323259.64 0   2238_bld House$AirdromeTank1 1 360096.44 323259.64 405
Philippines 194112141700 Corregidor 139 r 6000 6000 466779.23 290440.55 0   2239_bld House$AirdromeFuelTank 1 466779.23 290440.55 405
Philippines 194112141700 Corregidor 140 r 6000 6000 493380.57 53485.57 0   2240_bld House$AirdromeFuelTank 1 493380.57 53485.57 395
Philippines 194112141700 Corregidor 141 r 6000 6000 493366.09 53471.59 0   2241_bld House$AirdromeFuelTank 1 493366.09 53471.59 395
